article,content,candidate,definition,distance,type
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",come out of the closet,"(intransitive, idiomatic) To tell others about one's homosexuality, bisexuality, transness, or any minority or disapproved-of belief, preference, etc., where previously this had been kept secret.",0.8918,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",add fuel to the fire,"Used other than with a figurative or idiomatic meaning: see add,‎ fuel,‎ fire. (idiomatic) To worsen a conflict between people; to inflame an already tense situation",0.899,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",genie is out of the bottle,(idiomatic) Information has been released that will have ongoing consequences. (idiomatic) Something has been brought into reality that cannot be eliminated or undone.,0.8246,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",come out of the closet,"(intransitive, idiomatic) To tell others about one's homosexuality, bisexuality, transness, or any minority or disapproved-of belief, preference, etc., where previously this had been kept secret.",0.8805,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",see the forest for the trees,"(idiomatic) To discern an overall pattern from a mass of detail; to see the big picture, or the broader, more general situation. (idiomatic, in the negative, by extension) To be overwhelmed by detail to the point where it obscures the overall situation.",0.892,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",let the cat out of the bag,"(idiomatic) To disclose a secret; to let a secret be known, often inadvertently.",0.9016,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",keep one's eye on the ball,(idiomatic) To maintain one's concentration fixed on one important theme.,0.9113,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",it takes two to tango,(idiomatic) Some things need the active cooperation of two parties; blame is to be laid on both parties in a conflict.,0.873,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",have a mountain to climb,(idiomatic) To be faced with a difficult task or challenge.,0.8815,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",take the bull by the horns,"(idiomatic) To deal with a matter in a direct manner, especially to confront a difficulty rather than avoid it.",0.8867,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",stand up and be counted,"(idiomatic) To publicly make known one's views, contributions, or vote, especially in a contentious situation where fortitude is required. (idiomatic, often sports) To take significant individual action to help a group effort.",0.8937,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",add fuel to the fire,"Used other than with a figurative or idiomatic meaning: see add,‎ fuel,‎ fire. (idiomatic) To worsen a conflict between people; to inflame an already tense situation",0.8941,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",come in from the cold,"To gain widespread acceptance in a group or society, especially where there was not any before.",0.9071,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",come out of the closet,"(intransitive, idiomatic) To tell others about one's homosexuality, bisexuality, transness, or any minority or disapproved-of belief, preference, etc., where previously this had been kept secret.",0.9227,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",strike while the iron is hot,"(metallurgy, blacksmithing, literally) To strike a hot piece of metal, especially iron, with a mallet or other tool before it cools, while it is still hot enough to be shaped. (idiomatic) To act on an opportunity promptly while favorable conditions exist; to avoid waiting.",0.9259,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",let the cat out of the bag,"(idiomatic) To disclose a secret; to let a secret be known, often inadvertently.",0.933,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",take it or leave it,"(idiomatic) Denoting that a situation has to be accepted without change, or rejected outright. (idiomatic) Denoting that one does not care about or is unexcited for something.",0.9411,idiom
