idiom,definition
broken record,"(idiomatic) Someone or something that constantly repeats itself, causing annoyance. Used other than with a figurative or idiomatic meaning: see broken,‎ record."
broken-hearted,"Alternative spelling of brokenhearted Feeling depressed, despondent, or hopeless, especially over losing a love."
broom closet,"(figuratively, often  humorously) The metaphorical place in which a Wiccan's religious identity is hidden. Used other than with a figurative or idiomatic meaning: see broom,‎ closet."
brown bag,"(idiomatic) A short presentation or seminar on a given subject, especially one given at lunchtime."
brown bread,"Bread with a brown colour as distinct from white bread, wholemeal, granary or other specific types of bread. whole-wheat bread"
brush aside,"(idiomatic) To disregard, dismiss or ignore something, as unimportant. (idiomatic) To defeat with ease."
brush by,"(idiomatic) To walk past another person, touching them slightly, normally by accident, and ignoring them."
brush off,"Used other than with a figurative or idiomatic meaning: see brush,‎ off. To remove something with a brush. (idiomatic) To disregard (something), to dismiss or ignore (someone), as unimportant. (dated) To depart with a sweeping motion."
brush up,"To paint, or make clean or bright with a brush. (idiomatic) To review; to improve an existing but rusty or underdeveloped skill."
bubble over,"(idiomatic) To be very enthusiastic, or highly excited."
buck for,"(idiomatic, US, colloquial) To strive for persistently; to try hard to obtain (a promotion, raise, etc.)."
buck the trend,(idiomatic) To go against the norm or the current stand of the main population; have a differing opinion from the majority.
buck up,"(idiomatic) Cheer up; take courage; take heart. (idiomatic, dated) Hurry up; make haste."
bucket list,(idiomatic) A list of things to accomplish before one's death. [c. 2007.]
buckle down,(idiomatic) To put forth the needed effort; to focus; become serious; apply oneself (e.g. to work or study).
buckle up,"(transitive) To fasten with a buckle. (intransitive, idiomatic) To fasten one's seat belt or safety belt."
bug out,"(slang, intransitive, originally  military) To leave (a place) hastily. (slang, intransitive) to abandon someone without warning. (slang, intransitive) To miss school, play truant, play hooky. (slang, transitive, of one's eyes) To cause to bulge. (intransitive, slang, computing) To crash or glitch."
bugger all,"(chiefly Britain, Australia, New Zealand, South Africa, vulgar) Nothing."
bugger off,"(idiomatic, vulgar, Britain, Australia, New Zealand, emphatic, colloquial, dismissal) Go away. (idiomatic, vulgar, Britain, Australia, New Zealand, emphatic, colloquial) An expression of disagreement or disbelief."
build bridges,(idiomatic) To establish links or friendly relations.
build up,"To erect; to construct. To close up by building. (intransitive, transitive, idiomatic) To accumulate, to pile up, to increase in stages. (transitive, idiomatic) To strengthen. (card games) In solitaire card games, to place a card over another card of lower value. (e.g., place 5♦ over 4♣)"
bulk billing,"(Australia, idiomatic) The process whereby a general practitioner or other medical service provider charges the government for medical expenses incurred by a patient."
bum rap,"(slang) A false accusation, or an injustice, especially one that leads to imprisonment. (idiomatic) An undeservedly unfavorable portrayal or reputation."
bump and grind,"(idiomatic) A sexually suggestive dance involving exaggerated hip movements, especially a striptease dance. (by extension) A combination of movements resembling such a dance, as in road racing, whitewater kayaking, or exercising; any activity involving prolonged jarring or shaking."
bump in the road,"(idiomatic) A setback or obstacle, especially one which is relatively minor. (idiomatic) A very small town."
bump into,"(intransitive, literally) To collide with. (transitive, literally) To cause (a thing) to collide with. (transitive, idiomatic) To meet by chance."
bump off,"(chiefly US, idiomatic) To kill, especially to murder. (chiefly Britain, idiomatic) To cut class; to play truant."
bump up,"(transitive, idiomatic) To increase something suddenly. (transitive, idiomatic) To promote a person to a higher grade. (transitive, idiomatic) To give a more prominent place to; to advance position in queue."
bundle of energy,"(idiomatic) One who is especially lively, continually active, or industrious. (idiomatic) The energy associated with being lively, continually active, or industrious."
bundle of joy,"(idiomatic) A newborn baby or child of any age. (idiomatic, less common) A pet."
bundle of nerves,"(idiomatic) A person with an especially nervous, excitable, or fearful disposition. (idiomatic, dated) A lively, continually active person."
buried treasure,Treasure stashed underground or underwater. (idiomatic) Something valuable that is concealed for a long time and then rediscovered.
burn out,"(transitive) To destroy by fire. (intransitive) To become extinguished due to lack of fuel. (intransitive) To tire due to overwork; to overwork to their limit. (transitive) To cause (someone) to tire due to overwork; to cause (someone) to overwork to one's limit. (intransitive) (Of an automobile or its driver) To have one's tires skid against the ground; to peel off, peel out. (idiomatic) To make (someone) unavailable for work involving exposure to ionizing radiation by employing (the person) in such work until the person's accumulated exposure reaches the maximum permitted for an administrative period, typically a year."
burst in,(idiomatic) to enter suddenly and unexpectedly
burst into tears,(idiomatic) To suddenly start crying or sobbing.
burst out laughing,"(idiomatic, intransitive) To start laughing suddenly and intensely."
burst someone's bubble,(idiomatic) To disillusion; to disabuse someone of a false notion or rationalization that has grown comfortable.
bury one's head in the sand,(idiomatic) To deliberately ignore the reality of a situation; to pretend a problem does not exist.
bury the hatchet,"(US) To stop fighting or arguing; to reach an agreement, or at least a truce."
bush league,"(chiefly  US, idiomatic) A professional sports association at the lower levels of minor league organization. (figuratively, by extension) A low-ranking or inferior level among groups, professions, organizations, etc."
business as usual,"(idiomatic) The normal course of an activity, particularly in circumstances that are out of the ordinary. (idiomatic) The normal execution of standard functional operations within an organisation, particularly in contrast to a project or program which would introduce change (although that change may itself become business as usual)."
business end,"(idiomatic) The part of a tool or weapon that is physically used for its operation, rather than the part which is held. (idiomatic, by extension) The part of anything that is most important and that produces the significant result."
bust a move,"(African American Vernacular English, idiomatic, transitive) To dance. (African American Vernacular English, idiomatic, transitive) To seduce. (African American Vernacular English, idiomatic, transitive) To flatulate. (African American Vernacular English, idiomatic, transitive) To evade. (African American Vernacular English, idiomatic, transitive) To depart. (African American Vernacular English, idiomatic, transitive) To save oneself from an awkward situation with a woman."
bust out,"(informal, intransitive) To escape (from); break out. (informal, transitive) To free from captivity. (US, informal, intransitive) To reveal, to show. (US, informal) To bring out, to take out. (US, informal, nonstandard) To burst out (laughing). (slang, dated) To buy an interest in a business and then take out a large amount of debt, strip the business of assets and then cash out before the business goes into bankruptcy."
busted flush,"(Britain, poker) A potential flush which ultimately was not filled. (Britain, idiomatic) Anything which ends up worthless despite great potential."
busy work,"(idiomatic, chiefly US) Work or activity performed with the intention or result of occupying time, and not necessarily to accomplish something productive; routine work of low priority undertaken for the sake of avoiding idleness."
but good,(idiomatic) To a high degree; very thoroughly; in a most definite manner.
butt heads,(idiomatic) To argue uncompromisingly.
butt in,"(idiomatic, informal) To join a conversation or situation in which one is not welcome or invited; to interject (connotes a rude or discourteous interruption). (transitive) To join a queue not at the end, but in the middle."
butt out,"(intransitive, idiomatic) To stop interfering."
button-down,"Of a collar, able to be buttoned down to the shirt, as over a necktie. (idiomatic) Serious; staid; businesslike. (idiomatic) Conservative; conventional; unimaginative."
buttoned-down,(idiomatic) Alternative form of button-down
buy into,(idiomatic) To believe; to accept a craze or fad as valid. (finance) To buy stocks or shares of (a business).
buy out,"(transitive, idiomatic) to purchase the entire stock or extent of something (transitive) to purchase the ownership of a company To close someone's contract by paying him or her a sum of money, the terms of which are often stated in the contract itself. (transitive) To gain release for (a person) from military service by payment of money."
buy time,"(idiomatic) Purposefully cause a delay, in order to achieve something else."
buy to let,"(Britain, idiomatic) To purchase a property as in investment, and to let it out for rental instead of living in it"
buy up,"(idiomatic, transitive) To buy the whole of; to purchase the entire stock of something. (idiomatic, transitive) To buy whatever is available of something."
buzz off,"(idiomatic, colloquial, dismissal) go away."
by and large,"(set phrase, focus) mostly, generally; with few exceptions"
by the way,"(Britain, idiomatic) Irrelevantly, off-topic."
by virtue of,(idiomatic) (originally) by the authority or power of; (now) because of; on the grounds of; by reason of.
by-the-book,"(idiomatic) Adhering strictly to rules, legal requirements, or official procedures."
by-the-numbers,(idiomatic) Done in a predictable manner; formulaic.
cake walk,"A type of dance originating in the United States in the 19th century. From the mid 1900s, a game at a fair or party in which people walk around a numbered circle along to music. When the music is stopped, the caller draws a number from a jar and whoever is standing on or closest to that number that number wins a cake. (idiomatic) Something extremely easy."
call a spade a spade,"(idiomatic) To put it bluntly, to be outspoken; to speak the truth, to say things as they really are."
call it a day,(idiomatic) To retire. (idiomatic) To cease the activity for the day. [from 1919]
call it a night,(idiomatic) To go to bed to sleep (idiomatic) To cease what one has been doing for the night
call it quits,"To conclude; to quit or stop an activity, especially after applying oneself to it for a significant period of time. To declare debts resolved to one another"
call on,"(idiomatic, transitive) To visit (a person); to pay a call to. (idiomatic, transitive) To select (a student in a classroom, etc.) to provide an answer. (idiomatic, transitive) (also call upon) To request or ask something of (a person); to select for a task. (idiomatic, transitive) (also call upon) To have recourse to. (idiomatic) To correct; to point out an error or untruth."
call out,"(transitive, idiomatic) To specify, especially in detail. (transitive, idiomatic) To order into service; to summon into service. (intransitive, transitive) To yell out; to vocalize audibly; announce. (transitive, idiomatic, colloquial) To challenge, criticize, denounce. (intransitive) To contact one's workplace and announce that one is unable to attend work."
call someone's bluff,(idiomatic) To take action on the basis that another person is bluffing.
call the shots,(chiefly US) To make the decisions; to be in charge; to give orders.
call up,An order to report for military service.
calling card,"A small printed card which identifies the bearer, traditionally presented for introduction when making a social visit to a home or when attending a formal social event or business meeting. (idiomatic) An attribute, object, or behavior which is distinctly characteristic of someone or something. (euphemistic) Excrement, especially of a domestic animal. A phonecard. A card advertising the services of a prostitute."
calm before the storm,(idiomatic) A period of peace before a disturbance or crisis; an unnatural or false calm before a storm.
camp out,"(intransitive) To sleep outdoors, often in a tent. (idiomatic) To wait in a spot for something expected to occur."
can it,"(idiomatic, imperative) To silence; to quit doing something; to put an end to something."
can of worms,"(idiomatic) A complex, troublesome situation arising when a decision or action produces considerable subsequent problems. (idiomatic) A troublesome situation; an issue whose resolution is difficult or contentious but not necessarily complex."
can't even,"(slang) Without a following verb, as an expression of aporia: to be unable to express one's feelings about an overwhelming situation. Used other than with a figurative or idiomatic meaning: see can’t,‎ even."
can't get enough,(idiomatic) Greatly enjoys; likes a lot.
can't help,"(idiomatic) Is unable to avoid a situation, or stop something from happening."
can't seem,"Seem to be unable. Used other than with a figurative or idiomatic meaning: see can't,‎ seem."
can't stand,(idiomatic) cannot put up with
can't wait,(idiomatic) To eagerly anticipate; to find it hard to wait for a forthcoming pleasurable event
cap in hand,(idiomatic) In a humble and respectful manner
captain's pick,"(Australia, idiomatic, derogatory, informal) A decision made by a leader without consulting others."
care package,"(idiomatic) A package sent from home or from friends or family, containing favorite foods or comfort items."
carried away,"(idiomatic) Made excessively emotional or excited, so that one goes too far."
carrot and stick,(idiomatic) Simultaneous rewards for good behavior and punishments for bad behavior.
carry a tune,"(idiomatic) To produce music, especially to sing, with accurate relative pitch."
carry forward,"(idiomatic, accounting, of a balance) To transfer to a new page, column, ledger, or similar entity. (idiomatic, accounting, of an operating loss or other legal credit) To apply to the taxable income of following years, thereby easing the overall tax burden; carry over."
carry off,"To transport away. To steal or kidnap (idiomatic) To act convincingly; to succeed at giving the impression of (e.g.) knowledge, confidence, or familiarity. To cause the death of. To win (a prize, etc.)."
carry on,"(idiomatic) To continue or proceed as before. To take baggage or luggage onto an airplane, rather than check it. (idiomatic) To have or maintain. (idiomatic) To act or behave; especially to misbehave so as to attract attention. (idiomatic) To have an illicit sexual or flirtatious relationship."
carry out,"(transitive) To hold while moving it out. (transitive, idiomatic) To fulfill. (transitive) To execute or perform; to put into operation."
carry over,"Used other than with a figurative or idiomatic meaning: see carry,‎ over. (transitive, idiomatic) To transfer (something) to a later point in time. (transitive, arithmetic) To carry; to transfer an excess quantity to the next column of digits. (figuratively) To transfer. To induce to join an opposing party or faction."
carry the can,"(Britain, Canada, idiomatic) To take responsibility, especially in a challenging situation."
carry through,"(transitive, idiomatic) To manage to execute; to perform successfully, all the way to the end."
carve out,"To hollow by carving. (idiomatic) To create (a reputation, chance, role, rank, career, victory) by hard work, or as if by cutting."
carved in stone,(idiomatic) unchangeable
case closed,"Expressing finality, that that preceding material is meant as final, not subject to amendation or variation. Used other than with a figurative or idiomatic meaning: A case is closed; specifically, a police investigation or similar is resolved."
cash cow,"(idiomatic, business) A product, service, or enterprise that generates ongoing, high net free cash flows. (idiomatic, by extension) Someone or something which is a dependable source of appreciable amounts of money; a moneymaker."
cash in,"To exchange for cash. (idiomatic) To profit from something; to take advantage of an opportunity in order to profit, especially financially. (idiomatic) To die."
cash up,"(idiomatic) to count the money taken by a business at the end of the day. (intransitive, idiomatic) to earn money"
cast a shadow,"Used other than with a figurative or idiomatic meaning: see cast,‎ shadow. (idiomatic, figuratively, of an event, often a tragic one) To dampen future events."
cast aside,"(transitive, idiomatic) to discard"
cast aspersions,(idiomatic) To make damaging or spiteful remarks.
cast one's vote,"(idiomatic, intransitive) To vote for something."
cast the first stone,"(idiomatic) To act self-righteously in accusing another person, believing oneself to be blameless."
cat and mouse,"A relationship in which two parties closely monitor and challenge one another in a suspicious or self-protective manner, often because each party is attempting to gain an advantage over the other. A form of attack in which the attacker toys with the victim by inflicting minor damage or letting the victim have futile hopes of escape before finally finishing the victim off."
cat-and-mouse,"(idiomatic) suspenseful, involving alternating roles of attack and defence."
catbird seat,"(US, idiomatic) An enviable position, often one of great advantage."
catch a cold,(idiomatic) To contract a cold. (idiomatic) To encounter difficulties.
catch fire,(idiomatic) To become engulfed in flames. (figuratively) To become very popular or widespread; to take off. (figuratively) To be inspired by passion or zeal.
catch it,"(idiomatic) To be severely reprimanded, punished, or beaten. Used other than with a figurative or idiomatic meaning: see catch,‎ it."
catch of the day,A type of fish or other seafood which has been caught and brought to market within more-or-less the last 24 hours. (idiomatic) A person who is a popular or desirable choice to be a partner in a prospective marital or romantic relationship.
catch on,"(intransitive, idiomatic) To begin to understand; to realize. (intransitive, idiomatic) To become popular; to become commonplace; to become the standard. (intransitive, New England, dated, of food) To become stuck to the cooking vessel; to brown or burn slightly."
catch sight of,"(transitive, idiomatic) to see for a brief period; to get a glimpse of"
catch someone's eye,(idiomatic) To capture someone's attention.
catch the eye,(idiomatic) To attract the attention
cattle call,"(idiomatic, performing arts) An audition which is open to the public and thus draws a large number of applicants, many of whom are inexperienced."
caught on the hop,"(informal) In a situation for which one is unprepared. (informal) In a situation of change, especially from a known to an unknown state."
caught stealing,"(baseball) Thrown out (i.e. put out) while attempting to steal a base. Used other than with a figurative or idiomatic meaning: see caught,‎ stealing."
caught with one's pants down,"(idiomatic) Caught off guard, unprepared, or in an embarrassing situation."
cause a stir,"(intransitive) To cause controversy, or raise a disturbance."
cave in,The act of something collapsing or caving in. The location where something has caved in. (idiomatic) The act of relenting.
cease and desist,(law) To stop and not resume an action.
cease to be,(idiomatic) To die.
center field,"(baseball) The part of a baseball field which is beyond the infield and straight ahead left if you stand on home plate and face the pitcher. (baseball) The defensive position in the outfield in the middle, typically played by a player that can run fast. (idiomatic) A central role in some activity that requires speed."
chain reaction,"(physics) A nuclear reaction in which particles produced by the fission of one atom trigger fissions of other atoms. (idiomatic) A series of events, each one causing or influencing the next."
chance upon,"(transitive, idiomatic) to find by chance"
chances are,"(idiomatic) It is likely that, it is probable that"
change hands,(idiomatic) To become the property of someone else; to be bought or sold.
change of heart,"(idiomatic) A change of one's opinion, belief or decision."
change of life,"(idiomatic, dated, euphemistic) Menopause."
change of tack,"(nautical) The act of tacking, turning into the wind so the sail moves to the opposite side. (idiomatic) A reversal of an opinion."
change one's mind,(idiomatic) To decide differently than one had decided before.
change one's tune,(idiomatic) To reconsider; rethink; to reach a different conclusion. (idiomatic) To change one's story.
change over,"(transitive, idiomatic) to convert to, to make a transition from one system to another"
change someone's mind,(idiomatic) To convince someone to make a decision differing from what a previous one.
change the channel,"(US, Canada, idiomatic) To redirect someone's attention."
character assassination,(idiomatic) A malicious discourse designed to damage the reputation of someone.
charge down,"(intransitive, idiomatic, of an electrical device) To lose electrical power (transitive) To run towards something in an effort to stop it going forward."
charge up,"(transitive) To recharge, to give electrical power to something. (idiomatic) To motivate, to instill someone with determination. (LGBT, slang, transitive) To deliberately infect (a person) with HIV as part of bug-chasing."
charm offensive,"(idiomatic) A campaign of deliberately using charm and flattery in order to achieve some goal, especially in a political or diplomatic field."
charmed life,(idiomatic) A life in which one is always lucky and safe from danger.
chase after,"Used other than with a figurative or idiomatic meaning: see chase,‎ after. (idiomatic) To pursue someone with romantic intentions; to woo."
chase off,"(transitive, idiomatic) To drive someone or something away."
chat up,"(transitive, idiomatic) To talk to (someone) in a friendly, open, or casual manner, sometimes also in a charming or affected manner, usually to curry favor, and sometimes flirtatiously with the intention of establishing a romantic or sexual encounter or relationship with that person."
cheat on,"Used other than with a figurative or idiomatic meaning: see cheat,‎ on. (colloquial, idiomatic) (cheat on someone) To be unfaithful to, especially in a romantic relationship."
cheat sheet,"A sheet of paper containing notes used to assist (with or without permission) on a test. (idiomatic) Any summary or quick reference used as a shortcut or reminder, such as an aid for public speaking."
check and balance,(idiomatic) Provide mutual oversight and limitation by independent organizations in order to prevent abuses of power.
check through,"(idiomatic) To permit someone to continue onward, e.g. through a security checkpoint, after verifying their identity, tickets, etc. (idiomatic) To inspect something, often to try to find errors, problems, etc."
checks and balances,"(politics) A system for multiple branches of government wherein each has some control over the actions of each of the others. (figuratively) Somebody or something that ensures a system remains safe, honest, etc."
cheer up,"(intransitive, idiomatic) to become happy (transitive, idiomatic) to make someone happy"
cheese it,"(idiomatic, slang) An imperative used as a warning to stop, hide, or flee"
cheesed off,"(idiomatic, Britain, slang) Annoyed, upset, angry."
chemical imbalance,"Used other than with a figurative or idiomatic meaning: see chemical,‎ imbalance. (euphemistic) Mental illness."
cherry on top,"(idiomatic) An unnecessary, but welcome, addition to a desirable object or outcome"
cherry-pick,"(idiomatic) To pick out the best or most desirable items from a list or group, especially to obtain some advantage or to present something in the best possible light. (rhetoric, logic, by extension) To select only evidence which supports an argument, and reject or ignore contradictory evidence. (US, idiomatic, sports) To position oneself near the opponent's goal to attempt to receive an errant or intentional pass for an easy score, as in basketball or versions of soccer where offsides are not enforced. (US, idiomatic, broadcasting) To broadcast selected programming from another network."
chew on,"Used other than with a figurative or idiomatic meaning: see chew,‎ on. (transitive, idiomatic) To consider, to ponder."
chew up,"(transitive) to chew so as to make something pulpy (idiomatic, transitive) to ruin (especially land), by digging (US, idiomatic, transitive) to defeat utterly"
chicken feed,"Food (usually grain) given to poultry. (idiomatic) A very small or insignificant quantity, especially of money."
chicken liver,"Used other than with a figurative or idiomatic meaning: see chicken,‎ liver. (slang) A coward."
chicken out,"(idiomatic) To shy away from a daring task; to decline, refuse, or avoid something due to fear or uncertainty."
child's play,(idiomatic) Something particularly simple or easy. Used other than with a figurative or idiomatic meaning: the play of a child.
childhood friend,"Used other than with a figurative or idiomatic meaning: see childhood,‎ friend. (This entry is a translation hub.)"
chill out,"(intransitive, slang) To relax or take time out; to calm down. (intransitive, slang, somewhat dated) To hang out; spend time together with another person or group."
chime in,"(idiomatic) To talk; to join in conversation or discussion. (idiomatic) To agree, to harmonize, to concord."
chin up,(colloquial) Be happy; cheer up.
chip away,"(idiomatic, intransitive) To reduce or weaken bit by bit."
chip in,"(intransitive, idiomatic) To make a contribution; help in a small way; especially, to pay for a part of something. (intransitive, idiomatic, Britain, informal) To interrupt a discussion for the purpose of making a comment. (transitive, idiomatic) To contribute. (intransitive, golf) To put a chip shot in the hole. (intransitive, card games) To put into the pot the amount of chips or money required to continue."
chip off the old block,(idiomatic) Someone who takes after one of his or her parents.
chip on one's shoulder,"A form of challenge, in the same spirit as a medieval knight throwing down his gauntlet. (idiomatic) A habitually combative attitude, usually because of a harboured grievance, sense of inferiority, or having something to prove. (idiomatic) A tendency to take offence quickly."
chip shot,"(golf) An approach shot made from a location a short distance from the golf green in which the ball is launched into the air with only low or moderate force, so that it will land on the green and roll toward the hole. (American football) A relatively easy field goal, made from a short distance. (soccer) A shot in which the ball is kicked from underneath with accuracy but with less than maximum force, to launch it high into the air in order either to pass it over the heads of opponents or to score a goal. (curling) A takeout shot aimed at hitting a rock at an angle. (some other  sports) The achievement of a goal or the striking of a target with a ball or other projectile in relatively nonchallenging or routine circumstances, by throwing (as in basketball) or by discharging a firearm (as in hunting). (idiomatic, by extension) Something that is easy to do or to achieve."
choke off,"(idiomatic, transitive) To get rid of, cause to come to an end. To stop a person in the execution of a purpose."
choose up,"(idiomatic, intransitive) To select; pick, especially, to make a decision on a selection or option"
chop down,"(transitive) Used other than with a figurative or idiomatic meaning: see chop,‎ down. (idiomatic, transitive) To curtail, shorten"
chopped liver,"A Jewish pâté-like food made by mincing beef or chicken liver and onions which have been broiled or fried in schmaltz (“chicken fat”) together with hard-boiled eggs; it is usually spread on to bread. (idiomatic, humorous, informal) A person or object not worthy of being noticed; someone or something insignificant."
chow down,"(idiomatic) To eat, especially to eat vigorously."
chuck in,"(idiomatic, transitive) to give up, to quit"
chuck out,"(slang, transitive) To discard, to dispose of (something). (slang, transitive); To drive out; to turn out (somebody)."
chump change,"(chiefly US, idiomatic) A sum of money considered to be insignificant. (chiefly US, idiomatic) An amount of remuneration, reward, or other monetary recompense considered to be insultingly small."
chump-change,"(US, idiomatic, slang) Of or pertaining to something of little monetary value."
circle the wagons,To draw a wagon train into a circle to allow the wagons to provide cover when under attack. (idiomatic) To prepare to defend against an attack or criticism.
cities and counties,"Used other than with a figurative or idiomatic meaning: see city,‎ county. plural of city and county"
city and county,"Used other than with a figurative or idiomatic meaning: see city,‎ county. (Ireland, law) a local authority area formed by uniting the territory of a county and a city"
city slicker,(colloquial) One accustomed to a city or urban lifestyle or unsuited to life in the country.
claim to fame,(idiomatic) That for which one has bragging rights; one's reason for being well-known or famous.
clam up,"(intransitive, slang) To become silent; to stop talking, to shut up."
clamp down on,"(transitive, idiomatic) To take measures to stop something; to put an end to."
class clown,(idiomatic) A student who frequently makes jokes or pokes fun; a wiseacre.
class warfare,"(derogatory, idiomatic) The efforts of levelers promoting a greater financial contribution from the rich for the general benefit of the masses"
clean house,"(intransitive) To clean the interior of a house. (intransitive, idiomatic) To reform a workplace, organization, etc. by removing undesirable personnel and/or procedures. (intransitive, slang) To win overwhelmingly."
clean out,"(transitive) To clean, especially to tidy by removing the contents. (transitive, idiomatic) To empty completely; to remove all money or possessions from. (newer, humorous version is take to the cleaner's) (transitive, dated, slang) To hit or strike (someone); to beat (someone) up."
clean up,"(transitive) To make an area or a thing clean; to pick up a mess; to tidy. (intransitive, idiomatic, colloquial) To become clean, handsome, smart in appearance, e.g. for a special occasion, especially when it is out of character to be seen as such. (intransitive, idiomatic) To make a large profit; to win by a large margin, or to win a large amount, especially in gambling. Also clean house."
clean up one's act,(idiomatic) To reform; to improve one's habits.
clear cut,"(idiomatic) straightforward, obvious, simple, or basic. (forestry) having had all trees cut."
clear one's lines,"(sports, idiomatic) To clear the ball away from a dangerous position."
clear out,"(transitive) to completely empty (transitive) To rob or steal from (someone). (transitive) To be victorious in gambling against (someone). (transitive) to remove or eject (from), especially forcibly (intransitive) to leave quickly (intransitive) to become empty"
clear the decks,"(nautical) To remove, or fasten, all loose material, or partitions prior to a naval engagement. (by extension, figuratively) To prepare for action."
climb down,"(idiomatic, sometimes hyphenated) An abandonment, withdrawal from, or softening of a previously expressed opinion, policy, argument, etc."
clock in,"To begin working time, especially by punching in. (idiomatic) To be measured at."
clock is ticking,"(idiomatic, almost always preceded by the and often followed by for) Time is running out; a deadline is approaching."
clog up,"(transitive, idiomatic) to completely physically block"
close in on,(idiomatic) To enclose around; to tighten or shrink; to collapse. (idiomatic) To catch up with in a chase; to near the end of a pursuit. (idiomatic) To near a goal or completion.
close of play,(cricket) The end of a day's play (tennis) The end of the final game (not to be confused with set or match) during a day at the All England Tennis Championships (Wimbledon) (idiomatic) The end of the working day
close one's eyes,"Used other than with a figurative or idiomatic meaning: see close,‎ one's,‎ eyes. (idiomatic) To ignore something. (idiomatic) To sleep."
close ranks,"(idiomatic) To regroup forces, especially when this involves overlooking differences in order to face a challenge or adverse situation. Often implies making a show of unity, especially to the public. To maintain silence and secrecy in the face of some external threat."
close to home,"(idiomatic) Affecting people close to, or within, one's family circle."
close to the wind,"Used other than with a figurative or idiomatic meaning: see close to,‎ the,‎ wind. Near a limit of feasibility or compliance with law or morality."
close up shop,"(colloquial) To stop what one is doing, especially in the context of a business."
closed book,(idiomatic) A person or thing that cannot be easily understood; someone or something incomprehensible or puzzling.
closed form,"(mathematics) A form (expression) that does not use limits, implicitly or explicitly. (mathematics) A differential form whose exterior derivative is zero. (poetry) A type of poetry with regular structure, such as meter or a rhyming pattern. (poetry) Trobar clus. Used other than with a figurative or idiomatic meaning: see closed,‎ form."
closing time,"Used other than with a figurative or idiomatic meaning: see closing,‎ time. (Britain, Canada) The time when a public house or restaurant closes. Used to invite final drink orders. (Britain, figuratively) Used to suggest that a deadline for action is imminent."
cloud nine,"(idiomatic) Often in the phrase on cloud nine: a state of bliss, elation or happiness. (idiomatic, possibly nonstandard) A state of fantastic or impractical dreaming or thinking."
clue in,(informal) To inform or tell.
coffee shop,"Used other than with a figurative or idiomatic meaning: see coffee,‎ shop. A small café or restaurant typically selling light refreshments along with coffee-based drinks."
cold comfort,"(idiomatic) Much less reassurance, consolation, aid, or pleasure than one needs or desires."
cold hard cash,"(idiomatic) Money, regarded as an incentive that can override any doubts or ethical concerns."
cold reading,"The technique, or an instance, of using likely guesses and assumptions, then narrowing in on any positive responses, in order to give the impression of having information about a person or event. Used other than with a figurative or idiomatic meaning: see cold,‎ reading."
cold shoulder,(idiomatic) A deliberate act of disrespect; a slight or snub
cold snap,(idiomatic) A short and sudden period of cold weather.
cold turkey,"Sudden and complete withdrawal from a dependent substance, especially a drug. The physiological effects of such a withdrawal."
collect dust,(idiomatic) To remain untouched and unused for a long period of time.
collect one's thoughts,"(idiomatic) To become mentally composed, especially after being distressed, surprised, or disoriented; to become calm or organized in one's emotional state or thinking, as in preparation for a conversation, speech, decision, etc."
come a cropper,"(originally) To fall headlong from a horse. (Britain, idiomatic) To suffer some accident or misfortune; to fail."
come a long way,(idiomatic) To make significant progress.
come across,"Used other than with a figurative or idiomatic meaning: see come,‎ across. (figuratively) To change sides; to cross over to work for the opposition. (idiomatic) To give an appearance or impression; to project a certain image. (idiomatic) To find, usually by accident."
come again,"(idiomatic, informal, by ellipsis) A polite formula used when one has not heard or understood what has been said."
come along,"(intransitive, followed by ""with"") To accompany. (idiomatic, intransitive) To progress; to make progress."
come and go,To alternately enter and exit (physically or figuratively) To repeatedly appear and disappear (said especially of a feeling or pain)
come apart,"Used other than with a figurative or idiomatic meaning: see come,‎ apart. (intransitive) to break, separate."
come around,"(idiomatic) To change one's mind, especially to begin to agree or appreciate what one was reluctant to accept at first. To regain consciousness after a faint etc."
come at,"(obsolete) To come to; to attend. (obsolete) To enter into sexual relations with. To get to, especially with effort or difficulty. To attack; to harass. (Australia, New Zealand, transitive, slang) To accept (a situation); to agree to do; to try."
come clean,(idiomatic) To confess; admit the truth.
come down,"(intransitive) To descend, fall down, collapse. (intransitive) To be demolished. (intransitive) To decrease. (intransitive) To reach a decision. (intransitive) To be passed through time. (intransitive, idiomatic) To return from an elevated state of consciousness or emotion. (intransitive, Britain) To graduate from university, especially an Oxbridge university."
come down to,"To reach by moving down or reducing. (idiomatic) To entirely depend upon a single factor; basically, ultimately or in essence."
come down to us,(idiomatic) To survive to the present day; to be extant in some form.
come down with,To contract or get (an illness); to show symptoms of. To lay down (money) in payment; to pay.
come first,(idiomatic) To win first place in a competition. (idiomatic) To be the most important thing to consider.
come forward,"Used other than with a figurative or idiomatic meaning: see come,‎ forward. (intransitive, idiomatic) To offer help or information (especially, about a crime)."
come full circle,"(idiomatic) To make a complete change or reform. (idiomatic) To complete a cycle of transition, returning to where one started after gaining experience or exploring other things."
come hell or high water,(idiomatic) Regardless of the hardships.
come home to roost,(idiomatic) To have negative consequences (of an action in the past).
