article,content,candidate,definition,score,type
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",go from strength to strength,(idiomatic) To continue to get stronger,11.531797000000001,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",keep one's mouth shut,"(idiomatic) To keep a secret; to refrain from speaking indiscreetly or carelessly; broadly, to refrain from speaking altogether.",11.450221,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",what do you say,"(idiomatic) Used to ask someone if they are willing to do something. (idiomatic, childish) Used to remind a child to say a polite expression.",27.248457000000002,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ","first come, first served",(idiomatic) People will be dealt with in the order they arrive.,25.774973000000003,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",when push comes to shove,"(figuratively, idiomatic) When the pressure is on; when the situation is critical or urgent; when the time has come for action, even if it is difficult.",12.876007000000001,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",get one's feet wet,(idiomatic) To begin gaining experience; to tentatively try something new.,10.880192,idiom
FBI releases nearly 200 pages of Clinton email probe documents,"  The FBI late Friday released nearly 200 pages of interview summaries from the agency’s investigation into Hillary Clinton’s use of a private email server when she served as secretary of state. Many of the interviews are redacted so the name of the interview subject cannot be determined. It comes after the agency first released the report on its investigation earlier this month. That was also released late on a Friday before Labor Day.  Asked by Fox News who authorized the latest release and the timing, an  FBI spokesperson said “They were issued as soon as they were ready. ” FBI Director James Comey announced in July that the agency would not recommend charges against Clinton, despite concluding that Clinton and her team were “extremely careless” in their handling of sensitive information. Fox News’ Catherine Herridge contributed to this report. The latest headlines on the 2016 elections from the biggest name in politics. See Latest Coverage →   ",when all is said and done,(idiomatic) in the end; ultimately,10.137939,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",have the time of one's life,"(idiomatic) To enjoy oneself immensely, or more than ever before.",13.970610999999998,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",get one's money's worth,"(business) In a transaction, to receive a good or service which is considered to be of a value equal to or greater than the amount of money expended. (idiomatic, by extension) To derive satisfaction from an experience or occurrence; to have one's expectations or hopes fulfilled.",12.83193,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",what do I know,(rhetorical question) Implies that a statement is based on a guess or assumption rather than on knowledge or evidence.,12.261513,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",if I do say so myself,"(idiomatic) Appended to praise of oneself or one's own doings, as a form of modesty.",10.725541999999999,idiom
Presidential debate expected to be the most-watched ever,"The showdown Monday night between Hillary Clinton and Donald Trump is expected to be the   presidential debate in history. “It’ll be the largest audience in the history of televised debates, I’m sure,” Democratic strategist Joe Trippi told The Post. “Clearly, there’s a lot more interest. I think in just the entertainment value of Trump,” he added.  Stuart Stevens, the chief strategist for Mitt Romney’s 2008 campaign, agreed.  “I assume a huge audience,” he said.  The current record is held by the sole confrontation between Ronald Reagan and Jimmy Carter in 1980, which drew 80. 6 million viewers.",keep one's eyes peeled,"(intransitive, idiomatic, (with ""for"")) To be on the alert, to be watchful.",8.693899,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",get one's money's worth,"(business) In a transaction, to receive a good or service which is considered to be of a value equal to or greater than the amount of money expended. (idiomatic, by extension) To derive satisfaction from an experience or occurrence; to have one's expectations or hopes fulfilled.",15.732018,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",take matters into one's own hands,"(idiomatic) To deal with a problem alone, because others responsible have failed to deal with it.",12.800196000000001,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",get one's hands dirty,"(idiomatic) To get involved with the unpleasant parts, or the lowest levels, of a task.",11.242231,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",have one's cake and eat it too,(idiomatic) To seek to have two things which are mutually incompatible (such as eating a piece of cake and yet still possessing that piece for future use).,10.255203999999999,idiom
The Ancient Military Barracks Hidden Under Rome’s Streets,", I want to receive updates from partners and sponsors. Workers in Rome will have to change the design of a new subway station after discovering military barracks that date back to the second century during the rule of Emperor Hadrian. The ruins at the Amba Aradam station span 9, 700 square feet and lie 30 feet below street level. They once housed the Praetorian Guard, the emperor’s bodyguards, according to archaeologists. The area includes a hallway and 39 rooms, where archeologists have found bronze bracelets, mosaics, and human remains. Rossella Rea of Italy’s Culture Ministry, in announcing the discovery on Monday, told the Associated Press: It’s exceptional, not only for its good state of conservation but because it is part of a neighborhood which already included four barracks. And therefore, we can characterize this area as a military neighborhood. Officials told the BBC that work on the city’s third subway line would not be delayed and is on schedule to open in 2020. Workers will construct around the ruins. The station will be located near an interchange at the Colosseum.",let the chips fall where they may,"(idiomatic) To allow events to unfold naturally; to accept what occurs without prejudice, worry, or regret.",8.498147,idiom
